,Batch id, time, Longitude, Latitude, x, y, z,velocity,x_raw,y_raw,z_raw,label
84,73,2017-10-15 13:43:09.900,36.76375312,-1.29769852,0.0,0.001,-0.004,1.37606877144,-0.124,-0.0422425179241,-0.771272446228,0.0
86,73,2017-10-15 13:43:10.007,36.76376389,-1.29769391,0.001,-0.001,0.0,1.2997845464,-0.017,-0.149242517924,-0.771272446228,0.0
87,73,2017-10-15 13:43:10.111,36.76376389,-1.29769391,0.002,-0.002,0.009,1.2997845464,0.191,-0.357242517924,0.164727553772,0.0
88,73,2017-10-15 13:43:10.215,36.76376389,-1.29769391,-0.002,0.0,-0.008,1.2997845464,-0.017,-0.357242517924,-0.667272446228,0.0
89,73,2017-10-15 13:43:10.319,36.76376389,-1.29769391,-0.002,0.003,0.007,1.2997845464,-0.225,-0.0452425179241,0.0607275537723,0.0
90,73,2017-10-15 13:43:10.424,36.76376389,-1.29769391,0.001,-0.002,-0.006,1.2997845464,-0.12,-0.255242517924,-0.569272446228,0.0
91,73,2017-10-15 13:43:10.526,36.76376389,-1.29769391,0.0,-0.001,0.003,1.2997845464,-0.12,-0.357242517924,-0.263272446228,0.0
92,73,2017-10-15 13:43:10.630,36.76376389,-1.29769391,-0.001,0.0,-0.008,1.2997845464,-0.224,-0.357242517924,-1.09527244623,0.0
93,73,2017-10-15 13:43:10.734,36.76376389,-1.29769391,0.001,0.0,-0.005,1.2997845464,-0.12,-0.357242517924,-1.61527244623,0.0
94,73,2017-10-15 13:43:10.838,36.76376389,-1.29769391,0.001,0.001,0.012,1.2997845464,-0.016,-0.253242517924,-0.367272446228,0.0
95,73,2017-10-15 13:43:10.942,36.76376389,-1.29769391,0.001,-0.001,0.004,1.2997845464,0.088,-0.357242517924,0.0487275537723,0.0
97,73,2017-10-15 13:43:11.045,36.7637694,-1.2976926,0.001,-0.001,0.002,0.631503600048,0.191,-0.460242517924,0.254727553772,0.0
98,73,2017-10-15 13:43:11.149,36.7637694,-1.2976926,0.0,0.001,0.003,0.631503600048,0.191,-0.356242517924,0.566727553772,0.0
99,73,2017-10-15 13:43:11.253,36.7637694,-1.2976926,0.0,0.001,-0.001,0.631503600048,0.191,-0.252242517924,0.462727553772,0.0
100,73,2017-10-15 13:43:11.357,36.7637694,-1.2976926,0.0,-0.001,0.001,0.631503600048,0.191,-0.356242517924,0.566727553772,0.0
101,73,2017-10-15 13:43:11.463,36.7637694,-1.2976926,0.0,-0.001,0.0,0.631503600048,0.191,-0.462242517924,0.566727553772,0.0
102,73,2017-10-15 13:43:11.564,36.7637694,-1.2976926,-0.002,0.0,-0.014,0.631503600048,-0.011,-0.462242517924,-0.847272446228,0.0
