"","X","Batch_id","time","Longitude","Latitude","x","y","z","velocity","x_raw","y_raw","z_raw","label","x_ratio_speed","x_ratio_z"
"117",127,73,"2017-10-15 13:43:13.957",36.76376709,-1.29769379,-0.002,-0.001,-0.008,0.0378177084634,-0.334,-0.687242517924,-0.469272446228,0,-8.83184131379207,0.711740062057092
"118",129,73,"2017-10-15 13:43:14.061",36.76376621,-1.29769425,-0.002,-0.002,-0.01,0.109190482917,-0.542,-0.895242517924,-1.50927244623,0,-4.96380257253735,0.359113426706926
"119",130,73,"2017-10-15 13:43:14.165",36.76376621,-1.29769425,-0.002,0,-0.015,0.109190482917,-0.75,-0.895242517924,-3.06927244623,0,-6.86873049705353,0.244357584130802
"120",131,73,"2017-10-15 13:43:14.269",36.76376621,-1.29769425,0,0,0.003,0.109190482917,-0.75,-0.895242517924,-2.75727244623,0,-6.86873049705353,0.272007940682637
"121",132,73,"2017-10-15 13:43:14.372",36.76376621,-1.29769425,0,0,0.004,0.109190482917,-0.75,-0.895242517924,-2.34527244623,0,-6.86873049705353,0.319792270277859
"122",133,73,"2017-10-15 13:43:14.476",36.76376621,-1.29769425,0.001,0,0,0.109190482917,-0.646,-0.895242517924,-2.34527244623,0,-5.91626653479544,0.275447742132663
"123",134,73,"2017-10-15 13:43:14.580",36.76376621,-1.29769425,0.002,0.002,0.018,0.109190482917,-0.438,-0.687242517924,-0.473272446228,0,-4.01133861027926,0.925471160408507
"124",135,73,"2017-10-15 13:43:14.684",36.76376621,-1.29769425,-0.001,0.001,-0.005,0.109190482917,-0.542,-0.583242517924,-0.993272446228,0,-4.96380257253735,0.545671031204249
"125",136,73,"2017-10-15 13:43:14.788",36.76376621,-1.29769425,0,-0.002,-0.004,0.109190482917,-0.542,-0.791242517924,-1.40927244623,0,-4.96380257253735,0.384595612757438
"126",137,73,"2017-10-15 13:43:14.891",36.76376621,-1.29769425,0,0.002,0.001,0.109190482917,-0.542,-0.585242517924,-1.30627244623,0,-4.96380257253735,0.414921099778421
"127",139,73,"2017-10-15 13:43:14.994",36.76376488,-1.29769387,0,-0.002,0.006,0.156112359683,-0.542,-0.791242517924,-0.688272446228,0,-3.47185835317959,0.787478858074837
"128",140,73,"2017-10-15 13:43:15.099",36.76376488,-1.29769387,-0.001,-0.001,-0.003,0.156112359683,-0.647,-0.896242517924,-1.00327244623,0,-4.14445083857416,0.644889633350576
"129",141,73,"2017-10-15 13:43:15.203",36.76376488,-1.29769387,0.001,-0.001,0.002,0.156112359683,-0.543,-1.00024251792,-0.795272446228,0,-3.47826399589763,0.68278487778052
"130",142,73,"2017-10-15 13:43:15.306",36.76376488,-1.29769387,0.002,0.005,0.003,0.156112359683,-0.337,-0.485242517924,-0.486272446228,0,-2.15870159598067,0.693027134508851
"131",143,73,"2017-10-15 13:43:15.410",36.76376488,-1.29769387,-0.001,-0.001,-0.008,0.156112359683,-0.441,-0.589242517924,-1.31827244623,0,-2.82488843865719,0.334528724514552
"132",144,73,"2017-10-15 13:43:15.515",36.76376488,-1.29769387,-0.002,-0.006,-0.002,0.156112359683,-0.651,-1.21924251792,-1.52827244623,0,-4.17007340944633,0.425971168691755
"133",145,73,"2017-10-15 13:43:15.618",36.76376488,-1.29769387,0,0.009,0,0.156112359683,-0.651,-0.292242517924,-1.52827244623,0,-4.17007340944633,0.425971168691755
"134",146,73,"2017-10-15 13:43:15.722",36.76376488,-1.29769387,0.001,-0.001,0,0.156112359683,-0.547,-0.396242517924,-1.52827244623,0,-3.50388656676981,0.357920475075868
"135",147,73,"2017-10-15 13:43:15.825",36.76376488,-1.29769387,0,-0.003,-0.004,0.156112359683,-0.547,-0.705242517924,-1.94027244623,0,-3.50388656676981,0.281919171229193
"136",148,73,"2017-10-15 13:43:15.928",36.76376488,-1.29769387,0.001,-0.003,0,0.156112359683,-0.444,-1.01424251792,-1.94027244623,0,-2.84410536681132,0.22883384282589
