,Batch id, time, Longitude, Latitude,x,y,z,velocity,x_raw,y_raw,z_raw,label,speedbump,pothole
146,73,43:15.7,36.76376488,-1.29769387,0.001,-0.001,0,0.15611236,-0.547,-0.396242518,-1.528272446,0,0,0
147,73,43:15.8,36.76376488,-1.29769387,0,-0.003,-0.004,0.15611236,-0.547,-0.705242518,-1.940272446,0,0,0
148,73,43:15.9,36.76376488,-1.29769387,0.001,-0.003,0,0.15611236,-0.444,-1.014242518,-1.940272446,0,0,0
150,73,43:16.0,36.76376473,-1.29769764,0.003,0.003,0.015,0.419536387,-0.126,-0.696242518,-0.350272446,0,0,0
151,73,43:16.1,36.76376473,-1.29769764,0.003,0.001,0.007,0.419536387,0.18,-0.594242518,0.363727554,0,0,0
152,73,43:16.2,36.76376473,-1.29769764,-0.004,0.005,-0.004,0.419536387,-0.24,-0.069242518,-0.056272446,0,0,0
153,73,43:16.3,36.76376473,-1.29769764,-0.008,-0.005,-0.009,0.419536387,-1.064,-0.584242518,-0.983272446,0,0,0
154,73,43:16.4,36.76376473,-1.29769764,0.007,0.003,0.011,0.419536387,-0.329,-0.269242518,0.171727554,0,0,0
155,73,43:16.6,36.76376473,-1.29769764,0.006,0.008,0.002,0.419536387,0.289,0.554757482,0.377727554,0,0,0
156,73,43:16.7,36.76376473,-1.29769764,-0.008,-0.012,-0.019,0.419536387,-0.543,-0.693242518,-1.598272446,0,0,0
157,73,43:16.8,36.76376473,-1.29769764,-0.002,-0.026,0.007,0.419536387,-0.749,-3.371242518,-0.877272446,0,0,0
158,73,43:16.9,36.76376473,-1.29769764,-0.003,0.008,0.005,0.419536387,-1.064,-2.531242518,-0.352272446,0,0,0
159,73,43:17.0,36.76376473,-1.29769764,-0.001,0.023,-0.007,0.419536387,-1.167,-0.162242518,-1.073272446,0,0,0
161,73,43:17.1,36.76376204,-1.29770733,-0.003,0.006,-0.001,1.104946418,-1.476,0.455757482,-1.176272446,0,0,0
162,73,43:17.2,36.76376204,-1.29770733,0.006,0.002,-0.009,1.104946418,-0.852,0.663757482,-2.112272446,0,0,0
163,73,43:17.3,36.76376204,-1.29770733,0.004,0.011,0.013,1.104946418,-0.428,1.829757482,-0.734272446,0,0,0
164,73,43:17.4,36.76376204,-1.29770733,0.004,-0.005,0.004,1.104946418,-0.02,1.319757482,-0.326272446,0,0,0
165,73,43:17.5,36.76376204,-1.29770733,0.002,-0.004,-0.008,1.104946418,0.186,0.907757482,-1.150272446,0,0,0
166,73,43:17.6,36.76376204,-1.29770733,-0.001,-0.01,0.009,1.104946418,0.081,-0.142242518,-0.205272446,0,0,0
167,73,43:17.7,36.76376204,-1.29770733,-0.007,-0.014,-0.006,1.104946418,-0.654,-1.612242518,-0.835272446,0,0,0
168,73,43:17.8,36.76376204,-1.29770733,-0.004,0.005,0.007,1.104946418,-1.062,-1.102242518,-0.121272446,0,0,0
169,73,43:17.9,36.76376204,-1.29770733,0.004,0.006,-0.009,1.104946418,-0.646,-0.478242518,-1.057272446,0,0,0
171,73,43:18.0,36.76375909,-1.29771754,0.007,0.002,-0.001,1.19365213,0.096,-0.266242518,-1.163272446,0,0,0
172,73,43:18.1,36.76375909,-1.29771754,-0.001,-0.013,0.01,1.19365213,-0.006,-1.592242518,-0.143272446,0,0,0
173,73,43:18.2,36.76375909,-1.29771754,0.004,-0.007,0.016,1.19365213,0.406,-2.313242518,1.504727554,0,0,0
174,73,43:18.3,36.76375909,-1.29771754,-0.005,0.008,-0.015,1.19365213,-0.114,-1.481242518,-0.055272446,0,0,0
175,73,43:18.4,36.76375909,-1.29771754,-0.002,0.012,0.005,1.19365213,-0.322,-0.233242518,0.464727554,0,0,0
176,73,43:18.5,36.76375909,-1.29771754,-0.004,0.007,0.006,1.19365213,-0.738,0.494757482,1.088727554,0,0,0
177,73,43:18.6,36.76375909,-1.29771754,-0.003,-0.005,-0.017,1.19365213,-1.05,-0.025242518,-0.679272446,0,0,0
178,73,43:18.7,36.76375909,-1.29771754,0.004,-0.018,-0.005,1.19365213,-0.638,-1.879242518,-1.194272446,0,0,0
179,73,43:18.8,36.76375909,-1.29771754,0.003,0.008,0,1.19365213,-0.329,-1.055242518,-1.194272446,0,0,0
180,73,43:18.9,36.76375909,-1.29771754,0,0.015,0.01,1.19365213,-0.329,0.519757482,-0.144272446,0,0,0
182,73,43:19.0,36.76376412,-1.29772728,0.005,-0.005,-0.001,1.218868466,0.191,-0.000242518,-0.248272446,0,0,0
183,73,43:19.1,36.76376412,-1.29772728,-0.004,-0.002,-0.006,1.218868466,-0.221,-0.206242518,-0.866272446,0,0,0
